AWE-Full image path,AWE image path,Gender
train/0002.png,010/04.png,1
train/0002_vflip.png,010/04_vflip.png,1
train/0002_rot.png,010/04_rot.png,1
train/0002_rot1.png,010/04_rot1.png,1
train/0002_rot2.png,010/04_rot2.png,1
train/0003.png,011/02.png,2
train/0003_vflip.png,011/02_vflip.png,2
train/0003_rot.png,011/02_rot.png,2
train/0003_rot1.png,011/02_rot1.png,2
train/0003_rot2.png,011/02_rot2.png,2
train/0004.png,011/03.png,2
train/0004_vflip.png,011/03_vflip.png,2
train/0004_rot.png,011/03_rot.png,2
train/0004_rot1.png,011/03_rot1.png,2
train/0004_rot2.png,011/03_rot2.png,2
train/0005.png,011/04.png,2
train/0005_vflip.png,011/04_vflip.png,2
train/0005_rot.png,011/04_rot.png,2
train/0005_rot1.png,011/04_rot1.png,2
train/0005_rot2.png,011/04_rot2.png,2
train/0006.png,011/05.png,2
train/0006_vflip.png,011/05_vflip.png,2
train/0006_rot.png,011/05_rot.png,2
train/0006_rot1.png,011/05_rot1.png,2
train/0006_rot2.png,011/05_rot2.png,2
train/0007.png,011/06.png,2
train/0007_vflip.png,011/06_vflip.png,2
train/0007_rot.png,011/06_rot.png,2
train/0007_rot1.png,011/06_rot1.png,2
train/0007_rot2.png,011/06_rot2.png,2
train/0008.png,011/10.png,2
train/0008_vflip.png,011/10_vflip.png,2
train/0008_rot.png,011/10_rot.png,2
train/0008_rot1.png,011/10_rot1.png,2
train/0008_rot2.png,011/10_rot2.png,2
train/0009.png,011/01.png,2
train/0009_vflip.png,011/01_vflip.png,2
train/0009_rot.png,011/01_rot.png,2
train/0009_rot1.png,011/01_rot1.png,2
train/0009_rot2.png,011/01_rot2.png,2
train/0010.png,012/01.png,1
train/0010_vflip.png,012/01_vflip.png,1
train/0010_rot.png,012/01_rot.png,1
train/0010_rot1.png,012/01_rot1.png,1
train/0010_rot2.png,012/01_rot2.png,1
train/0011.png,012/02.png,1
train/0011_vflip.png,012/02_vflip.png,1
train/0011_rot.png,012/02_rot.png,1
train/0011_rot1.png,012/02_rot1.png,1
train/0011_rot2.png,012/02_rot2.png,1
train/0012.png,012/03.png,1
train/0012_vflip.png,012/03_vflip.png,1
train/0012_rot.png,012/03_rot.png,1
train/0012_rot1.png,012/03_rot1.png,1
train/0012_rot2.png,012/03_rot2.png,1
train/0013.png,012/04.png,1
train/0013_vflip.png,012/04_vflip.png,1
train/0013_rot.png,012/04_rot.png,1
train/0013_rot1.png,012/04_rot1.png,1
train/0013_rot2.png,012/04_rot2.png,1
train/0014.png,012/05.png,1
train/0014_vflip.png,012/05_vflip.png,1
train/0014_rot.png,012/05_rot.png,1
train/0014_rot1.png,012/05_rot1.png,1
train/0014_rot2.png,012/05_rot2.png,1
train/0015.png,012/06.png,1
train/0015_vflip.png,012/06_vflip.png,1
train/0015_rot.png,012/06_rot.png,1
train/0015_rot1.png,012/06_rot1.png,1
train/0015_rot2.png,012/06_rot2.png,1
train/0016.png,012/07.png,1
train/0016_vflip.png,012/07_vflip.png,1
train/0016_rot.png,012/07_rot.png,1
train/0016_rot1.png,012/07_rot1.png,1
train/0016_rot2.png,012/07_rot2.png,1
train/0017.png,013/04.png,1
train/0017_vflip.png,013/04_vflip.png,1
train/0017_rot.png,013/04_rot.png,1
train/0017_rot1.png,013/04_rot1.png,1
train/0017_rot2.png,013/04_rot2.png,1
train/0018.png,013/05.png,1
train/0018_vflip.png,013/05_vflip.png,1
train/0018_rot.png,013/05_rot.png,1
train/0018_rot1.png,013/05_rot1.png,1
train/0018_rot2.png,013/05_rot2.png,1
